datestamp,spx,cpi
1930-09-22,20.17,1
1930-09-23,20.44,1
1930-09-24,20.11,1
1930-09-25,19.73,1
1930-09-26,19.43,1
1930-09-29,18.86,1
1930-09-30,18.59,1
1930-10-01,19.42,1
1930-10-02,19.18,1
1930-10-03,19.42,1
1930-10-06,18.61,1
1930-10-07,18.62,1
1930-10-08,18.4,1
1930-10-09,17.67,1
1930-10-10,18.11,1
1930-10-14,17.91,1
1930-10-15,18.2,1
1930-10-16,17.88,1
1930-10-17,17.16,1
1930-10-20,17.57,1
1930-10-21,17.05,1
1930-10-22,16.9,1
1930-10-23,17.14,1
1930-10-24,17.74,1
1930-10-27,17.78,1
1930-10-28,17.86,1
1930-10-29,17.55,1
1930-10-30,17.34,1
1930-10-31,16.94,1
1930-11-03,17.13,1
1930-11-05,16.62,1
1930-11-06,16.65,1
1930-11-07,16.09,1
1930-11-10,15.54,1
1930-11-11,15.79,1
1930-11-12,16.14,1
1930-11-13,16.56,1
1930-11-14,16.89,1
1930-11-17,16.48,1
1930-11-18,16.66,1
1930-11-19,17.01,1
1930-11-20,16.94,1
1930-11-21,17.2,1
1930-11-24,17.05,1
1930-11-25,16.85,1
1930-11-26,16.61,1
1930-11-28,16.38,1
1930-12-01,16.8,1
1930-12-02,16.96,1
1930-12-03,16.67,1
1930-12-04,16.42,1
1930-12-05,16.43,1
1930-12-08,15.97,1
1930-12-09,15.98,1
1930-12-10,15.73,1
1930-12-11,15.55,1
1930-12-12,15.43,1
1930-12-15,14.94,1
1930-12-16,14.44,1
1930-12-17,15.11,1
1930-12-18,15.22,1
1930-12-19,15.39,1
1930-12-22,14.88,1
1930-12-23,14.96,1
1930-12-24,15.16,1
1930-12-26,14.85,1
1930-12-29,14.72,1
1930-12-30,15.06,1
1930-12-31,15.34,1
1931-01-02,15.85,1
1931-01-05,15.93,1
1931-01-06,16.13,1
1931-01-07,16.09,1
1931-01-08,16.23,1
1931-01-09,16.07,1
1931-01-12,15.84,1
1931-01-13,15.65,1
1931-01-14,15.83,1
1931-01-15,15.46,1
1931-01-16,15.65,1
1931-01-19,15.46,1
1931-01-20,15.78,1
1931-01-21,15.78,1
1931-01-22,16.07,1
1931-01-23,16.42,1
1931-01-26,16.4,1
1931-01-27,16.32,1
1931-01-28,16.02,1
1931-01-29,16.17,1
1931-01-30,16.19,1
1931-02-02,16.16,1
1931-02-03,16.24,1
1931-02-04,16.33,1
1931-02-05,16.22,1
1931-02-06,16.27,1
1931-02-09,16.96,1
1931-02-10,17.23,1
1931-02-11,17.28,1
1931-02-13,17.18,1
1931-02-16,17.34,1
1931-02-17,17.05,1
1931-02-18,17.2,1
1931-02-19,17.43,1
1931-02-20,17.71,1
1931-02-24,18.17,1
1931-02-25,17.97,1
1931-02-26,18.17,1
1931-02-27,18.03,1
1931-03-02,17.52,1
1931-03-03,17.5,1
1931-03-04,17.34,1
1931-03-05,17.69,1
1931-03-06,17.32,1
1931-03-09,17.76,1
1931-03-10,17.72,1
1931-03-11,17.52,1
1931-03-12,17.4,1
1931-03-13,17.32,1
1931-03-16,17.77,1
1931-03-17,17.58,1
1931-03-18,17.81,1
1931-03-19,18.01,1
1931-03-20,18.06,1
1931-03-23,17.76,1
1931-03-24,17.88,1
1931-03-25,17.78,1
1931-03-26,17.54,1
1931-03-27,17.21,1
1931-03-30,16.66,1
1931-03-31,16.69,1
1931-04-01,16.52,1
1931-04-02,16.45,1
1931-04-06,16.5,1
1931-04-07,16.28,1
1931-04-08,16.5,1
1931-04-09,16.41,1
1931-04-10,16.46,1
1931-04-13,16.72,1
1931-04-14,16.51,1
1931-04-15,16.18,1
1931-04-16,15.98,1
1931-04-17,15.73,1
1931-04-20,15.96,1
1931-04-21,15.54,1
1931-04-22,15.22,1
1931-04-23,15.29,1
1931-04-24,15.29,1
1931-04-27,14.76,1
1931-04-28,14.67,1
1931-04-29,14.37,1
1931-04-30,15.09,1
1931-05-01,14.65,1
1931-05-04,15.06,1
1931-05-05,14.94,1
1931-05-06,15.01,1
1931-05-07,14.95,1
1931-05-08,15.44,1
1931-05-11,15.19,1
1931-05-12,15.04,1
1931-05-13,14.99,1
1931-05-14,14.66,1
1931-05-15,14.44,1
1931-05-18,13.84,1
1931-05-19,13.83,1
1931-05-20,13.75,1
1931-05-21,13.89,1
1931-05-22,13.94,1
1931-05-25,13.4,1
1931-05-26,13.41,1
1931-05-27,13.26,1
1931-05-28,13.31,1
1931-05-29,13.02,1
1931-06-01,12.4,1
1931-06-02,12.2,1
1931-06-03,13.12,1
1931-06-04,13.55,1
1931-06-05,13.4,1
1931-06-08,13.56,1
1931-06-09,13.34,1
1931-06-10,13.7,1
1931-06-11,13.73,1
1931-06-12,13.75,1
1931-06-15,13.63,1
1931-06-16,13.66,1
1931-06-17,13.51,1
1931-06-18,13.27,1
1931-06-19,13.22,1
1931-06-22,14.61,1
1931-06-23,14.41,1
1931-06-24,15.09,1
1931-06-25,14.99,1
1931-06-26,15.35,1
1931-06-29,15.09,1
1931-06-30,14.83,1
1931-07-01,15.07,1
1931-07-02,14.94,1
1931-07-03,15.26,1
1931-07-06,15.1,1
1931-07-07,14.51,1
1931-07-08,14.37,1
1931-07-09,14.49,1
1931-07-10,14.63,1
1931-07-13,14.23,1
1931-07-14,14.09,1
1931-07-15,13.8,1
1931-07-16,14.14,1
1931-07-17,14.27,1
1931-07-20,14.46,1
1931-07-21,14.62,1
1931-07-22,14.28,1
1931-07-23,14.28,1
1931-07-24,13.97,1
1931-07-27,14.03,1
1931-07-28,14.18,1
1931-07-29,13.74,1
1931-07-30,13.8,1
1931-07-31,13.73,1
1931-08-03,13.93,1
1931-08-04,13.84,1
1931-08-05,13.64,1
1931-08-06,13.55,1
1931-08-07,13.61,1
1931-08-10,13.55,1
1931-08-11,13.99,1
1931-08-12,13.8,1
1931-08-13,14.02,1
1931-08-14,14.29,1
1931-08-17,14.05,1
1931-08-18,14.1,1
1931-08-19,14.14,1
1931-08-20,14.17,1
1931-08-21,13.86,1
1931-08-24,13.75,1
1931-08-25,13.7,1
1931-08-26,13.93,1
1931-08-27,13.85,1
1931-08-28,13.99,1
1931-08-31,13.86,1
1931-09-01,13.92,1
1931-09-02,13.66,1
1931-09-03,13.35,1
1931-09-04,13.29,1
1931-09-08,12.87,1
1931-09-09,12.76,1
1931-09-10,12.62,1
1931-09-11,12.69,1
1931-09-14,12.1,1
1931-09-15,11.99,1
1931-09-16,11.82,1
1931-09-17,12.04,1
1931-09-18,11.46,1
1931-09-21,10.93,1
1931-09-22,10.8,1
1931-09-23,11.52,1
1931-09-24,10.68,1
1931-09-25,10.92,1
1931-09-28,10.5,1
1931-09-29,10.06,1
1931-09-30,9.71,1
1931-10-01,9.53,1
1931-10-02,9.7,1
1931-10-05,8.82,1
1931-10-06,9.91,1
1931-10-07,9.78,1
1931-10-08,10.62,1
1931-10-09,10.55,1
1931-10-13,10.1,1
1931-10-14,9.87,1
1931-10-15,10.05,1
1931-10-16,10.36,1
1931-10-19,10.49,1
1931-10-20,10.96,1
1931-10-21,10.86,1
1931-10-22,10.5,1
1931-10-23,10.84,1
1931-10-26,10.64,1
1931-10-27,10.41,1
1931-10-28,10.07,1
1931-10-29,10.11,1
1931-10-30,10.43,1
1931-11-02,10.5,1
1931-11-04,10.82,1
1931-11-05,10.78,1
1931-11-06,11.11,1
1931-11-09,11.52,1
1931-11-10,11.28,1
1931-11-11,11.11,1
1931-11-12,11.07,1
1931-11-13,10.72,1
1931-11-16,10.43,1
1931-11-17,10.6,1
1931-11-18,10.21,1
1931-11-19,10.16,1
1931-11-20,9.85,1
1931-11-23,9.7,1
1931-11-24,9.87,1
1931-11-25,9.53,1
1931-11-27,9.31,1
1931-11-30,9.5,1
1931-12-01,9.38,1
1931-12-02,9.05,1
1931-12-03,9.22,1
1931-12-04,9.02,1
1931-12-07,9.29,1
1931-12-08,9.02,1
1931-12-09,8.78,1
1931-12-10,8.58,1
1931-12-11,8.31,1
1931-12-14,8.01,1
1931-12-15,8.12,1
1931-12-16,7.93,1
1931-12-17,7.72,1
1931-12-18,8.36,1
1931-12-21,8.15,1
1931-12-22,8.29,1
1931-12-23,7.95,1
1931-12-24,7.96,1
1931-12-28,7.76,1
1931-12-29,7.96,1
1931-12-30,8.1,1
1931-12-31,8.12,1
1932-01-04,7.56,1
1932-01-05,7.55,1
1932-01-06,8.08,1
1932-01-07,8.22,1
1932-01-08,8.57,1
1932-01-11,8.48,1
1932-01-12,8.39,1
1932-01-13,8.8,1
1932-01-14,8.9,1
1932-01-15,8.92,1
1932-01-18,8.51,1
1932-01-19,8.48,1
1932-01-20,8.63,1
1932-01-21,8.58,1
1932-01-22,8.21,1
1932-01-25,8.2,1
1932-01-26,8.31,1
1932-01-27,8.15,1
1932-01-28,8.03,1
1932-01-29,7.94,1
1932-02-01,8.23,1
1932-02-02,8.05,1
1932-02-03,8.09,1
1932-02-04,8.04,1
1932-02-05,7.78,1
1932-02-08,7.62,1
1932-02-09,7.53,1
1932-02-10,7.5,1
1932-02-11,8.12,1
1932-02-15,8.5,1
1932-02-16,8.84,1
1932-02-17,8.48,1
1932-02-18,8.71,1
1932-02-19,8.72,1
1932-02-23,8.22,1
1932-02-24,8.43,1
1932-02-25,8.35,1
1932-02-26,8.34,1
1932-02-29,8.29,1
1932-03-01,8.35,1
1932-03-02,8.71,1
1932-03-03,8.71,1
1932-03-04,8.72,1
1932-03-07,8.82,1
1932-03-08,8.98,1
1932-03-09,8.81,1
1932-03-10,8.73,1
1932-03-11,8.52,1
